Rv_ID	gene_name	Description	Expt	log2FC	q-val	q_val_D	UK_score_4
Rv2007c	fdxA	Ferredoxin FdxA	2016_Nambi	-0.48922360843738	0.4508233628	1	0
Rv2008c	-	hypothetical protein	2016_Nambi	-0.195538778009383	0.4755444861	1	4
Rv2009	vapB15	Antitoxin VapB15	2016_Nambi	0.983968393939696			2
Rv2010	vapC15	Toxin VapC15	2016_Nambi	-1.07857531982179	0.3659929927	1	3
Rv2011c	-	Conserved hypothetical protein, probable transcription repressor	2016_Nambi	0.254119748218877	0.4680012971	1	3
Rv2012	-	hypothetical protein	2016_Nambi	0.128861557055783	0.4884705718	1	4
Rv2013	-	Transposase	2016_Nambi	3.31670638855359			1
Rv2014	-	Transposase	2016_Nambi	2.17899079072625	0.2690580645	1	1
Rv2015c	-	hypothetical protein	2016_Nambi	1.27180767114	0.1817666041	1	4
Rv2016	-	Hypothetical protein	2016_Nambi	1.94223299185778	0.1817666041	1	4
Rv2017	-	Transcriptional regulatory protein	2016_Nambi				1
Rv2018	-	hypothetical protein	2016_Nambi	4.51388570005404	0.0004455556	3	4
Rv2019	-	hypothetical protein	2016_Nambi	0.571943851655665	0.4128814815	1	4
Rv2020c	-	hypothetical protein	2016_Nambi	-1.07273429935446	0.3180050339	1	4
Rv2021c	-	Transcriptional regulatory protein	2016_Nambi	2.22275761258787	0.2471586801	1	1
Rv2022c	-	hypothetical protein	2016_Nambi	0.771984763992512	0.3080083945	1	4
Rv2023c	-	Hypothetical protein	2016_Nambi	0.642270774367408	0.4130899885	1	4
Rv2024c	-	hypothetical protein	2016_Nambi	0.025701619524523	0.4992534544	1	4
Rv2025c	-	hypothetical protein	2016_Nambi	0.183006676662451	0.4646979424	1	2
Rv2026c	-	Universal stress protein family protein	2016_Nambi	6.50622978852195	0.0004455556	3	3
Rv2027c	dosT	Two component sensor histidine kinase DosT	2016_Nambi	-1.3633518428258	0.2505550907	1	0
Rv2028c	-	Universal stress protein family protein	2016_Nambi	-0.233169850398526	0.4841394179	1	3
Rv2029c	pfkB	6-phosphofructokinase PfkB (phosphohexokinase) (phosphofructokinase)	2016_Nambi	-0.192579992289414	0.4869427862	1	0
Rv2030c	-	hypothetical protein	2016_Nambi	1.38808759217173	0.0837382353	1	4
Rv2031c	hspX	Heat shock protein HspX (alpha-crystallin homolog) (14 kDa antigen) (HSP16.3)	2016_Nambi	1.75603282133933	0.1761507014	1	0
Rv2032	acg	Conserved protein Acg	2016_Nambi	-1.43925704319319	0.3429059885	1	2
Rv2033c	-	hypothetical protein	2016_Nambi	0.270525204296001	0.4688224772	1	4
Rv2034	-	ArsR repressor protein	2016_Nambi	-0.3210131188778			1
Rv2035	-	hypothetical protein	2016_Nambi	0.284489510608845	0.4719816092	1	4
Rv2036	-	hypothetical protein	2016_Nambi	4.79920351686074	0.0234160584	2	3
Rv2037c	-	Conserved transmembrane protein	2016_Nambi	0.097101244395728	0.4989286979	1	3
Rv2038c	-	Probable sugar-transport ATP-binding protein ABC transporter	2016_Nambi	-1.46054487967209	0.2986017857	1	1
Rv2039c	-	Probable sugar-transport integral membrane protein ABC transporter	2016_Nambi	-0.732104826590667	0.4174524315	1	1
Rv2040c	-	Probable sugar-transport integral membrane protein ABC transporter	2016_Nambi	-0.837610319743215	0.2947010169	1	1
Rv2041c	-	Probable sugar-binding lipoprotein	2016_Nambi	-1.29214982365182	0.1604	1	1
Rv2042c	-	hypothetical protein	2016_Nambi	0.17357544827825	0.4835715831	1	4
Rv2043c	pncA	Pyrazinamidase/nicotinamidase PncA (PZase)	2016_Nambi	0.338909506003492	0.4423196313	1	0
Rv2044c	-	hypothetical protein	2016_Nambi	0.688406892566337	0.3443114007	1	4
Rv2045c	lipT	Carboxylesterase LipT	2016_Nambi	-0.415327062728636	0.4054258338	1	1
Rv2046	lppI	Probable lipoprotein LppI	2016_Nambi	0.671349070284623	0.3859022697	1	1
Rv2047c	-	hypothetical protein	2016_Nambi	0.399688624977968	0.4492053191	1	3
Rv2048c	pks12	Polyketide synthase Pks12	2016_Nambi	-0.236906625858894	0.4202323002	1	0
Rv2049c	-	hypothetical protein	2016_Nambi	7.06531871144006			4
Rv2050	-	hypothetical protein	2016_Nambi				4
Rv2051c	ppm1	Polyprenol-monophosphomannose synthase Ppm1	2016_Nambi	2.252078081676	0.0036454545	3	0
Rv2052c	-	hypothetical protein	2016_Nambi	1.13967553190842	0.0861512367	1	4
Rv2053c	fxsA	Probable transmembrane protein FxsA	2016_Nambi	1.4769567072613	0.3036017505	1	3
Rv2054	-	hypothetical protein	2016_Nambi	0.169264633818319	0.4719816092	1	3
Rv2055c	rpsR2	30S ribosomal protein S18 RpsR2	2016_Nambi	8.24594037286337	0.0261877551	2	0
Rv2056c	rpsN2	30S ribosomal protein S14 RpsN2	2016_Nambi	-0.533339501922945			0
Rv2057c	rpmG1	50S ribosomal protein L33 RpmG1	2016_Nambi	-0.655419711549487	0.44912	1	0
Rv2058c	rpmB2	50S ribosomal protein L28 RpmB2	2016_Nambi	-0.636685671731726	0.3405661948	1	0
Rv2059	-	hypothetical protein	2016_Nambi	0.562516851187889	0.3654534799	1	3
Rv2060	-	Possible conserved integral membrane protein	2016_Nambi	-5.31183382496361	0.3114217742	1	3
Rv2061c	-	hypothetical protein	2016_Nambi	1.38199346407968	0.2859873979	1	4
Rv2062c	cobN	Cobalamin biosynthesis protein CobN	2016_Nambi	-0.066225866239228	0.4945531513	1	0
Rv2063	mazE7	Antitoxin MazE7	2016_Nambi	-0.66296020193382			2
Rv2064	cobG	Precorrin-3B synthase CobG	2016_Nambi	3.50710115160026			0
Rv2065	cobH	Precorrin-8X methylmutase CobH (aka precorrin isomerase)	2016_Nambi	1.01297018557556	0.2998628319	1	0
Rv2066	cobI	Probable bifunctional protein, CobI-COBJ fusion protein: S-adenosyl-L-methionine-precorrin-2 methyl transferase + precorrin-3 methylase	2016_Nambi	0.372619678956676	0.399396	1	0
Rv2067c	-	hypothetical protein	2016_Nambi	-0.917493941793869	0.2990568889	1	4
Rv2068c	blaC	Class a beta-lactamase BlaC	2016_Nambi	-0.379952334890465	0.4203526087	1	0
Rv2069	sigC	RNA polymerase sigma factor, ECF subfamily, SigC	2016_Nambi	0.791633668986213	0.3887365323	1	0
Rv2070c	cobK	Precorrin-6X reductase CobK	2016_Nambi	-1.16477770797916	0.4623724596	1	0
Rv2071c	cobM	Precorrin-3 methylase CobM (precorrin-4 C11-methyltransferase)	2016_Nambi	-0.339833079406436	0.4408018587	1	0
Rv2072c	cobL	Precorrin-6Y C(5,15)-methyltransferase (decarboxylating) CobL	2016_Nambi	0.622642161113408	0.4104352941	1	0
Rv2073c	-	Probable shortchain dehydrogenase	2016_Nambi	0.208566421041347	0.4779410417	1	3
Rv2074	-	Possible pyridoxamine 5'-phosphate oxidase (PNP/PMP oxidase) (pyridoxinephosphate oxidase) (PNPOX) (pyridoxine 5'-phosphate oxidase)	2016_Nambi	1.33669921655333	0.3302352941	1	3
Rv2075c	-	Possible hypothetical exported or envelope protein	2016_Nambi	-0.067881283807366	0.4865580668	1	4
Rv2076c	-	hypothetical protein	2016_Nambi	-0.603894742104907	0.4272964249	1	4
Rv2077c	-	Possible conserved transmembrane protein	2016_Nambi	-0.811175923226909			4
Rv2077A	-	hypothetical protein	2016_Nambi	-0.06967902661729	0.4916872677	1	3
Rv2078	-	hypothetical protein	2016_Nambi	2.12294489683785	0.2621273684	1	4
Rv2079	-	hypothetical protein	2016_Nambi	1.35195091168902	0.0529475728	1	4
Rv2080	lppJ	Lipoprotein LppJ	2016_Nambi	-0.603805179704671	0.3302352941	1	2
Rv2081c	-	Conserved transmembrane protein	2016_Nambi	0.599484806166564	0.3899520408	1	4
Rv2082	-	hypothetical protein	2016_Nambi	0.129105306245754	0.4688908228	1	4
Rv2083	-	hypothetical protein	2016_Nambi	1.43447465506262	0.2989841695	1	4
Rv2084	-	Hypothetical protein	2016_Nambi	-0.499679211865314	0.4218953514	1	4
Rv2085	-	hypothetical protein	2016_Nambi	-3.89669512649644			3
Rv2086	-	hypothetical protein	2016_Nambi	1.72677119607475	0.3161145083	1	2
Rv2087	-	hypothetical protein	2016_Nambi	-0.66296020193382			2
Rv2088	pknJ	Transmembrane serine/threonine-protein kinase J PknJ (protein kinase J) (STPK J)	2016_Nambi	0.709877459961354	0.3436206051	1	1
Rv2089c	pepE	Dipeptidase PepE	2016_Nambi	-2.25853155225586	0.1792705882	1	0
Rv2090	-	Probable 5'-3' exonuclease	2016_Nambi	1.07485688892154	0.2145783694	1	1
Rv2091c	-	Probable membrane protein	2016_Nambi	4.52217636567631	0.0004455556	3	3
Rv2092c	helY	ATP-dependent DNA helicase HelY	2016_Nambi	0.68616794311329	0.2238379421	1	0
Rv2093c	tatC	Sec-independent protein translocase transmembrane protein TatC	2016_Nambi				0
Rv2094c	tatA	Sec-independent protein translocase membrane-bound protein TatA	2016_Nambi				1
Rv2095c	pafC	Proteasome accessory factor C PafC	2016_Nambi	0.785056669665859	0.2859873979	1	2
Rv2096c	pafB	Proteasome accessory factor B PafB	2016_Nambi	-0.901899065026109	0.2337951515	1	2
Rv2097c	pafA	Proteasome accessory factor a PafA	2016_Nambi	2.1649442164514	0.0932054054	1	2
Rv2100	-	hypothetical protein	2016_Nambi	-0.125409617563992	0.4690256651	1	4
Rv2101	helZ	Probable helicase HelZ	2016_Nambi	-0.010157383247102	0.5025463905	1	0
Rv2102	-	hypothetical protein	2016_Nambi	0.863952070334974	0.3204947669	1	4
Rv2103c	vapC37	Possible toxin VapC37 Contains PIN domain	2016_Nambi	-0.642917826029711	0.4600911987	1	3
Rv2104c	vapB37	Possible antitoxin VapB37	2016_Nambi	8.63691491974011			3
Rv2105	-	Putative transposase for insertion sequence element IS6110 (fragment)	2016_Nambi	0.680091278125226	0.4136100629	1	1
Rv2106	-	Probable transposase	2016_Nambi	0.72859422414941	0.1651576271	1	1
Rv2107	PE22	PE family protein PE22	2016_Nambi	-0.899498965824403	0.4992534544	1	2
Rv2108	PPE36	PPE family protein PPE36	2016_Nambi	0.261601428238128	0.4394291667	1	2
Rv2109c	prcA	Proteasome alpha subunit PrcA; assembles with beta subunit PrcB	2016_Nambi				0
Rv2110c	prcB	Proteasome beta subunit PrcB; assembles with alpha subunit PrcA	2016_Nambi				0
Rv2111c	pup	Prokaryotic ubiquitin-like protein Pup	2016_Nambi				2
Rv2112c	dop	Deamidase of pup Dop	2016_Nambi	2.14340318848726	0.3768729805	1	2
Rv2113	-	Probable integral membrane protein	2016_Nambi	-0.282093831788178	0.4408768089	1	3
Rv2114	-	hypothetical protein	2016_Nambi	0.128134436560153	0.4719816092	1	4
Rv2115c	mpa	Mycobacterial proteasome ATPase Mpa	2016_Nambi	3.01226487434464	0.0108745763	2	0
Rv2116	lppK	Conserved lipoprotein LppK	2016_Nambi	0.288573471366723	0.4682325767	1	2
Rv2117	-	hypothetical protein	2016_Nambi	0.662211961141783			4
Rv2118c	-	RNA methyltransferase	2016_Nambi	1.30388347089992	0.0837382353	1	2
Rv2119	-	hypothetical protein	2016_Nambi	-0.603396753510494	0.3675544012	1	3
Rv2120c	-	Probable conserved integral membrane protein	2016_Nambi	2.83650665179388	0.4237331928	1	4
Rv2121c	hisG	ATP phosphoribosyltransferase HisG	2016_Nambi				0
Rv2122c	hisE	Phosphoribosyl-AMP pyrophosphatase HisE	2016_Nambi				0
Rv2123	PPE37	PPE family protein PPE37	2016_Nambi	0.28612306936266	0.4535496922	1	2
Rv2124c	metH	5-methyltetrahydrofolate--homocystein methyltransferase MetH (methionine synthase, vitamin-B12 dependent isozyme) (ms)	2016_Nambi	-0.881800786735511	0.2601997358	1	0
Rv2125	-	hypothetical protein	2016_Nambi	1.32048138479002	0.1925949821	1	4
Rv2126c	PE_PGRS37	PE-PGRS family protein PE_PGRS37	2016_Nambi	-0.135277975334291	0.4952626134	1	2
Rv2127	ansP1	L-asparagine permease AnsP1	2016_Nambi	1.26984857536036	0.0369406061	2	0
Rv2128	-	Conserved transmembrane protein	2016_Nambi	1.61866274219154	0.2365543027	1	4
Rv2129c	-	Probable oxidoreductase	2016_Nambi	2.29126734887901	0.0802	1	3
Rv2130c	mshC	Cysteine:1D-myo-inosityl 2-amino-2-deoxy--D-glucopyranoside ligase MshC	2016_Nambi				0
Rv2131c	cysQ	Monophosphatase CysQ	2016_Nambi	-2.99386071628508	0.2246111643	1	0
Rv2132	-	hypothetical protein	2016_Nambi	1.25923579085946			4
Rv2133c	-	hypothetical protein	2016_Nambi	0.543993838518617	0.4232158289	1	4
Rv2134c	-	hypothetical protein	2016_Nambi	-0.719829994872704	0.399396	1	4
Rv2135c	-	hypothetical protein	2016_Nambi				3
Rv2136c	-	Possible conserved transmembrane protein	2016_Nambi	0.778214410657853	0.3887365323	1	2
Rv2137c	-	hypothetical protein	2016_Nambi	-0.067884685193609	0.5001221472	1	4
Rv2138	lppL	Probable conserved lipoprotein LppL	2016_Nambi	1.03984696064789	0.4154533258	1	2
Rv2139	pyrD	Probable dihydroorotate dehydrogenase PyrD	2016_Nambi	1.09953030594159			0
Rv2140c	TB18.6	Conserved protein TB18.6	2016_Nambi	1.59092535010909	0.1293147287	1	3
Rv2141c	-	hypothetical protein	2016_Nambi	-0.021658750637538	0.5025463905	1	2
Rv2142c	parE2	Possible toxin ParE2	2016_Nambi	-2.31881050126824			3
Rv2143	-	hypothetical protein	2016_Nambi	0.375245766031543	0.4254050804	1	4
Rv2144c	-	Probable transmembrane protein	2016_Nambi	-0.220033304171747	0.4945531513	1	3
Rv2145c	wag31	Diviva family protein Wag31	2016_Nambi				1
Rv2146c	-	Possible conserved transmembrane protein	2016_Nambi	-1.78074277389655			4
Rv2147c	-	hypothetical protein	2016_Nambi	-1.5119043310257			4
Rv2148c	-	hypothetical protein	2016_Nambi	0.527779495609828	0.4280061224	1	4
Rv2149c	yfiH	Conserved protein YfiH	2016_Nambi	1.93757606631309	0.1671679325	1	3
Rv2150c	ftsZ	Cell division protein FtsZ	2016_Nambi				0
Rv2151c	ftsQ	Possible cell division protein FtsQ	2016_Nambi	-3.5220861653083			0
Rv2152c	murC	Probable UDP-N-acetylmuramate-alanine ligase MurC	2016_Nambi				0
Rv2153c	murG	Probable UPD-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol-N-acetylglucosamine transferase MurG	2016_Nambi				0
Rv2154c	ftsW	FtsW-like protein FtsW	2016_Nambi	-0.843289261603661			1
Rv2155c	murD	Probable UDP-N-acetylmuramoylalanine-D-glutamate ligase MurD	2016_Nambi				0
Rv2156c	murX	Probable phospho-N-acetylmuramoyl-pentappeptidetransferase MurX	2016_Nambi	1.51563908782446			0
Rv2157c	murF	Probable UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate-D-alanyl-D-alanyl ligase MurF	2016_Nambi				0
Rv2158c	murE	Probable UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase MurE	2016_Nambi				0
Rv2159c	-	hypothetical protein	2016_Nambi	0.759730726716116	0.3625495886	1	4
Rv2160A	-	hypothetical protein	2016_Nambi	-0.365201050170022	0.4443306327	1	2
Rv2160c	-	hypothetical protein	2016_Nambi				4
Rv2161c	-	hypothetical protein	2016_Nambi	1.02264947224932	0.3114781563	1	2
Rv2162c	PE_PGRS38	PE-PGRS family protein PE_PGRS38	2016_Nambi	0.353538003159836	0.4463304348	1	2
Rv2163c	pbpB	Probable penicillin-binding membrane protein PbpB	2016_Nambi				0
Rv2164c	-	Probable conserved proline rich membrane protein	2016_Nambi				4
Rv2165c	-	hypothetical protein	2016_Nambi	3.26000571088392	0.1984845754	1	3
Rv2166c	-	hypothetical protein	2016_Nambi	2.80822183147114	0.0004455556	3	4
Rv2167c	-	Probable transposase	2016_Nambi	0.361124549037009	0.3887365323	1	1
Rv2168c	-	Putative transposase for insertion sequence element IS6110 (fragment)	2016_Nambi	0.356119033572402	0.4403433962	1	1
Rv2169c	-	Probable conserved transmembrane protein	2016_Nambi				4
Rv2170	-	GCN5-related N-acetyltransferase	2016_Nambi	4.77973853207522	0.0004455556	3	4
Rv2171	lppM	Probable conserved lipoprotein LppM	2016_Nambi	2.09308584217025	0.1119507331	1	2
Rv2172c	-	hypothetical protein	2016_Nambi				4
Rv2173	idsA2	Probable geranylgeranyl pyrophosphate synthetase IdsA2 (ggppsase) (GGPP synthetase) (geranylgeranyl diphosphate synthase)	2016_Nambi	-4.62813451833571	0.1493124424	1	0
Rv2174	mptA	Alpha(1->6)mannosyltransferase Possible conserved integral membrane protein	2016_Nambi	0.700747760615868	0.4690256651	1	1
Rv2175c	-	Conserved regulatory protein	2016_Nambi	-0.227069291545479	0.4700266254	1	3
Rv2176	pknL	Probable transmembrane serine/threonine-protein kinase L PknL (protein kinase L) (STPK L)	2016_Nambi	0.797791230441343	0.3509780237	1	1
Rv2177c	-	Possible transposase	2016_Nambi	0.126496333603595	0.4980139767	1	1
Rv2178c	aroG	3-deoxy-D-arabino-heptulosonate 7-phosphate synthase AroG (DAHP synthetase, phenylalanine-repressible)	2016_Nambi				0
Rv2179c	-	hypothetical protein	2016_Nambi	-3.53749167422616	0.3208	1	4
Rv2180c	-	Probable conserved integral membrane protein	2016_Nambi	1.90493451999336	0.1005642633	1	3
Rv2181	-	Alpha(1->2)mannosyltransferase	2016_Nambi	-0.431695232687112	0.4270742681	1	2
Rv2182c	-	1-acylglycerol-3-phosphate O-acyltransferase	2016_Nambi				2
Rv2183c	-	hypothetical protein	2016_Nambi	-4.76578024787292	0.4131682759	1	4
Rv2184c	-	hypothetical protein	2016_Nambi	-2.0546619257566	0.0468194595	2	3
Rv2185c	TB16.3	Conserved protein TB16.3	2016_Nambi	-4.27156895279869	0.0215462687	2	3
Rv2186c	-	hypothetical protein	2016_Nambi	0.043501380309072	0.508458497	1	4
Rv2187	fadD15	Long-chain-fatty-acid-CoA ligase FadD15 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	2016_Nambi	-0.06886475004252	0.4898987219	1	1
Rv2188c	pimB	Mannosyltransferase PimB	2016_Nambi				1
Rv2189c	-	hypothetical protein	2016_Nambi	-0.740899036433105	0.4422837638	1	4
Rv2190c	-	hypothetical protein	2016_Nambi	-0.878140355186565			2
Rv2191	-	hypothetical protein	2016_Nambi	-0.391366458867359	0.4425031308	1	2
Rv2192c	trpD	Probable anthranilate phosphoribosyltransferase TrpD	2016_Nambi				0
Rv2193	ctaE	Probable cytochrome C oxidase (subunit III) CtaE	2016_Nambi				0
Rv2194	qcrC	Probable ubiquinol-cytochrome C reductase QcrC (cytochrome C subunit)	2016_Nambi				0
Rv2195	qcrA	Probable rieske iron-sulfur protein QcrA	2016_Nambi	4.46931350025248			0
Rv2196	qcrB	Probable ubiquinol-cytochrome C reductase QcrB (cytochrome B subunit)	2016_Nambi	2.36331874771364			0
Rv2197c	-	Probable conserved transmembrane protein	2016_Nambi	-1.29692300118671	0.1964196491	1	4
Rv2198c	mmpS3	Probable conserved membrane protein MmpS3	2016_Nambi	2.20658048551165	0.1005642633	1	2
Rv2199c	-	Possible conserved integral membrane protein	2016_Nambi	2.49019399017913			3
Rv2200c	ctaC	Probable transmembrane cytochrome C oxidase (subunit II) CtaC	2016_Nambi	-1.01828570477977	0.4892088766	1	0
Rv2201	asnB	Probable asparagine synthetase AsnB	2016_Nambi	6.34424262933856	0.3080083945	1	0
Rv2202c	adoK	Adenosine kinase	2016_Nambi				0
Rv2203	-	Possible conserved membrane protein	2016_Nambi	2.26963827351082	0.0036454545	3	4
Rv2204c	-	hypothetical protein	2016_Nambi				4
Rv2205c	-	hypothetical protein	2016_Nambi	0.703913219408871	0.3641127596	1	3
Rv2206	-	Probable conserved transmembrane protein	2016_Nambi	1.13270250016709	0.3596401533	1	4
Rv2207	cobT	Probable nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase CobT	2016_Nambi	0.218441935019561	0.4897413555	1	0
Rv2208	cobS	Probable cobalamin 5'-phosphate synthase CobS	2016_Nambi	0.804758308669507	0.4136100629	1	0
Rv2209	-	Probable conserved integral membrane protein	2016_Nambi	-0.195263067024871	0.4514752764	1	3
Rv2210c	ilvE	Branched-chain amino acid transaminase IlvE	2016_Nambi				0
Rv2211c	gcvT	Probable aminomethyltransferase GcvT (glycine cleavage system T protein)	2016_Nambi	2.90023049752476			0
Rv2212	-	Adenylyl cyclase (ATP pyrophosphate-lyase) (adenylate cyclase)	2016_Nambi	-1.84977233769264	0.1377092683	1	2
Rv2213	pepB	Probable aminopeptidase PepB	2016_Nambi	-0.015206821014232	0.50335525	1	0
Rv2214c	ephD	Possible short-chain dehydrogenase EphD	2016_Nambi	2.1365045023267	0.0004455556	3	1
Rv2215	dlaT	DlaT, dihydrolipoamide acyltransferase, E2 component of pyruvate dehydrogenase	2016_Nambi	1.09953030594159			0
Rv2216	-	hypothetical protein	2016_Nambi	1.44357810020488	0.3675544012	1	4
Rv2217	lipB	Probable lipoate biosynthesis protein B LipB	2016_Nambi	4.32997118665031	0.0936563758	1	0
Rv2218	lipA	Probable lipoate biosynthesis protein A LipA	2016_Nambi	-7.8109116741323			0
Rv2219	-	Probable conserved transmembrane protein	2016_Nambi	-2.51580197176201			4
Rv2219A	-	Probable conserved membrane protein	2016_Nambi	-3.91348428563589	0.2028426117	1	3
Rv2220	glnA1	Glutamine synthetase GlnA1 (glutamine synthase) (GS-I)	2016_Nambi				0
Rv2221c	glnE	Glutamate-ammonia-ligase adenylyltransferase GlnE (glutamine-synthetase adenylyltransferase)	2016_Nambi	2.73178156809376	0.0369406061	2	0
Rv2222c	glnA2	Probable glutamine synthetase GlnA2 (glutamine synthase) (GS-II)	2016_Nambi	1.34273419915325	0.0983096774	1	0
Rv2223c	-	Probable exported protease	2016_Nambi	0.462345392236718	0.3405661948	1	3
Rv2224c	caeA	Probable carboxylesterase CaeA	2016_Nambi	-0.143410051464567	0.4850450089	1	2
Rv2225	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase PanB	2016_Nambi				0
Rv2226	-	hypothetical protein	2016_Nambi	1.86628783249194	0.0342993711	2	4
Rv2227	-	hypothetical protein	2016_Nambi	2.98032063659464	0.1691613445	1	4
Rv2228c	-	Multifunctional protein Has RNASE H,alpha-ribazole phosphatase, and acid phosphatase activities	2016_Nambi	0.265445834446835	0.4680356972	1	3
Rv2229c	-	hypothetical protein	2016_Nambi	0.852678885890641			4
Rv2230c	-	hypothetical protein	2016_Nambi	-0.139981774719549	0.4989286979	1	4
Rv2231c	cobC	Possible aminotransferase CobC	2016_Nambi	5.62868908323009			0
Rv2232	ptkA	Protein tyrosine kinase transcriptional regulatory protein PtkA	2016_Nambi	4.29368004152504	0.0580633484	1	2
Rv2234	ptpA	Phosphotyrosine protein phosphatase PtpA (protein-tyrosine-phosphatase) (PTPase) (LMW phosphatase)	2016_Nambi	0.002974007291868	0.5025463905	1	0
Rv2235	-	Probable conserved transmembrane protein	2016_Nambi	1.51563908782446			4
Rv2236c	cobD	Probable cobalamin biosynthesis transmembrane protein CobD	2016_Nambi	-0.60984549330589	0.4760412865	1	0
Rv2237	-	hypothetical protein	2016_Nambi	-0.962089590723131	0.2621273684	1	4
Rv2238c	ahpE	Probable peroxiredoxin AhpE	2016_Nambi	5.60345761493962	0.0856227758	1	0
Rv2239c	-	hypothetical protein	2016_Nambi	1.14733144753782			4
Rv2240c	-	hypothetical protein	2016_Nambi	-0.166668503181981	0.4989286979	1	4
Rv2241	aceE	Pyruvate dehydrogenase E1 component AceE (pyruvate decarboxylase) (pyruvate dehydrogenase) (pyruvic dehydrogenase)	2016_Nambi	-0.61300283692768	0.4023424675	1	0
Rv2242	-	hypothetical protein	2016_Nambi	1.14653947268557			3
Rv2243	fabD	Malonyl CoA-acyl carrier protein transacylase FabD (malonyl CoA:ACPM acyltransferase) (MCT)	2016_Nambi	-2.78997090065265			0
Rv2244	acpM	Meromycolate extension acyl carrier protein AcpM	2016_Nambi				0
Rv2245	kasA	3-oxoacyl-[acyl-carrier protein] synthase 1 KasA (beta-ketoacyl-ACP synthase) (KAS I)	2016_Nambi				0
Rv2246	kasB	3-oxoacyl-[acyl-carrier protein] synthase 2 KasB (beta-ketoacyl-ACP synthase) (KAS I)	2016_Nambi	3.8941066344107	0.0261877551	2	0
Rv2247	accD6	Acetyl/propionyl-CoA carboxylase (beta subunit) AccD6	2016_Nambi				0
Rv2248	-	hypothetical protein	2016_Nambi	0.809553946522392	0.4019950372	1	4
Rv2249c	glpD1	Probable glycerol-3-phosphate dehydrogenase GlpD1	2016_Nambi	-1.1756536876641	0.3644914878	1	0
Rv2250c	-	Possible transcriptional regulatory protein	2016_Nambi	0.149705789472737	0.4880566223	1	1
Rv2250A	-	Possible flavoprotein	2016_Nambi				1
Rv2251	-	Possible flavoprotein	2016_Nambi	-0.037523122405229	0.4992534544	1	2
Rv2252	-	Diacylglycerol kinase	2016_Nambi	-1.0737294409752	0.3775401361	1	4
Rv2253	-	Possible secreted unknown protein	2016_Nambi	0.712525657996315	0.3775401361	1	4
Rv2254c	-	Probable integral membrane protein	2016_Nambi	2.98457832845852	0.1892955882	1	4
Rv2255c	-	Hypothetical protein	2016_Nambi	1.18383627539105	0.315110936	1	4
Rv2256c	-	hypothetical protein	2016_Nambi	0.662211961141783			4
Rv2257c	-	hypothetical protein	2016_Nambi	1.99555509358487	0.3675544012	1	3
Rv2258c	-	Possible transcriptional regulatory protein	2016_Nambi	0.513504535399137	0.4237331928	1	2
Rv2259	mscR	S-nitrosomycothiol reductase MscR	2016_Nambi	-1.00639441431959	0.3873851459	1	0
Rv2260	-	hypothetical protein	2016_Nambi	1.18244969862574	0.4183884956	1	4
Rv2261c	-	hypothetical protein	2016_Nambi	1.28603073776793	0.2516507503	1	2
Rv2262c	-	hypothetical protein	2016_Nambi	-0.971295348415855	0.4174524315	1	2
Rv2263	-	Possible oxidoreductase	2016_Nambi	1.09529232899007	0.2278437795	1	2
Rv2264c	-	Conserved hypothetical proline rich protein	2016_Nambi	0.992874142818787	0.1293147287	1	3
Rv2265	-	Possible conserved integral membrane protein	2016_Nambi	-0.434620914329164	0.4104352941	1	3
Rv2266	cyp124	Probable cytochrome P450 124 Cyp124	2016_Nambi	-0.660781691201979	0.4393266762	1	0
Rv2267c	-	hypothetical protein	2016_Nambi	0.71571226562007	0.257330821	1	4
Rv2268c	cyp128	Probable cytochrome P450 128 Cyp128	2016_Nambi	-2.11565961558978	0.4333724988	1	0
Rv2269c	-	Hypothetical protein	2016_Nambi	-0.473685609773265	0.44912	1	4
Rv2270	lppN	Probable lipoprotein LppN	2016_Nambi	1.80200238376542	0.0842978102	1	2
Rv2271	-	hypothetical protein	2016_Nambi	1.62439749046564	0.1100970414	1	4
Rv2272	-	Probable conserved transmembrane protein	2016_Nambi	-0.178421376531116	0.4880566223	1	4
Rv2273	-	Probable conserved transmembrane protein	2016_Nambi	-0.590841121949954	0.4754154771	1	4
Rv2274c	mazF8	Possible toxin MazF8	2016_Nambi	1.36314140159521	0.3632869048	1	3
Rv2275	-	hypothetical protein	2016_Nambi	0.436622702600533	0.441378086	1	4
Rv2276	cyp121	Cytochrome P450 121 Cyp121	2016_Nambi	-0.128551006990356	0.4929925119	1	0
Rv2277c	-	Possible glycerolphosphodiesterase	2016_Nambi	0.245480386871841	0.4754154771	1	2
Rv2278	-	Putative transposase for insertion sequence element IS6110 (fragment)	2016_Nambi	0.848018619886626	0.3641127596	1	1
Rv2279	-	Probable transposase	2016_Nambi	0.386525195340602	0.3873851459	1	1
Rv2280	-	Probable dehydrogenase	2016_Nambi	0.314961556527541	0.4549827542	1	1
Rv2281	pitB	Putative phosphate-transport permease PitB	2016_Nambi	-0.61204924055158	0.4218953514	1	0
