Rv_ID,gene_name,Description,Expt,log2FC,q-val,# control reps,# experimental reps,meaning,paper_title,paper_URL
Rv2209,Rv2209,Probable conserved integral membrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.23,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2210c,ilvE,Branched-chain amino acid transaminase IlvE,nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2211c,gcvT,Probable aminomethyltransferase GcvT (glycine cleavage system T protein),nambi_2015_ctpC_vs_nambi_2015_wt,2.82,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2212,Rv2212,Adenylyl cyclase (ATP pyrophosphate-lyase) (adenylate cyclase),nambi_2015_ctpC_vs_nambi_2015_wt,-1.93,0.37897,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2213,pepB,Probable aminopeptidase PepB,nambi_2015_ctpC_vs_nambi_2015_wt,-0.12,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2214c,ephD,Possible short-chain dehydrogenase EphD,nambi_2015_ctpC_vs_nambi_2015_wt,2.1,0.00859,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2215,dlaT,"DlaT, dihydrolipoamide acyltransferase, E2 component of pyruvate dehydrogenase",nambi_2015_ctpC_vs_nambi_2015_wt,0.21,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2216,Rv2216,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.41,0.94612,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2217,lipB,Probable lipoate biosynthesis protein B LipB,nambi_2015_ctpC_vs_nambi_2015_wt,5.07,0.47471,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2218,lipA,Probable lipoate biosynthesis protein A LipA,nambi_2015_ctpC_vs_nambi_2015_wt,-5.08,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2219,Rv2219,Probable conserved transmembrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-2.62,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2219A,Rv2219A,Probable conserved membrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-4.05,0.5592,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2220,glnA1,Glutamine synthetase GlnA1 (glutamine synthase) (GS-I),nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2221c,glnE,Glutamate-ammonia-ligase adenylyltransferase GlnE (glutamine-synthetase adenylyltransferase),nambi_2015_ctpC_vs_nambi_2015_wt,3.8,0.39589,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2222c,glnA2,Probable glutamine synthetase GlnA2 (glutamine synthase) (GS-II),nambi_2015_ctpC_vs_nambi_2015_wt,1.26,0.40608,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2223c,Rv2223c,Probable exported protease,nambi_2015_ctpC_vs_nambi_2015_wt,0.41,0.94612,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2224c,caeA,Probable carboxylesterase CaeA,nambi_2015_ctpC_vs_nambi_2015_wt,-0.22,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2225,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase PanB,nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2226,Rv2226,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.83,0.15241,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2227,Rv2227,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,2.91,0.52158,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2228c,Rv2228c,"Multifunctional protein Has RNASE H,alpha-ribazole phosphatase, and acid phosphatase activities",nambi_2015_ctpC_vs_nambi_2015_wt,0.17,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2229c,Rv2229c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.53,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2230c,Rv2230c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.17,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2231Ac,Rv2231Ac,,nambi_2015_ctpC_vs_nambi_2015_wt,0.19,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2231B,vapB16,Possible antitoxin VapB16,nambi_2015_ctpC_vs_nambi_2015_wt,5.66,0.75429,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2231c,cobC,Possible aminotransferase CobC,nambi_2015_ctpC_vs_nambi_2015_wt,-0.08,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2232,ptkA,Protein tyrosine kinase transcriptional regulatory protein PtkA,nambi_2015_ctpC_vs_nambi_2015_wt,4.29,0.30943,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2234,ptpA,Phosphotyrosine protein phosphatase PtpA (protein-tyrosine-phosphatase) (PTPase) (LMW phosphatase),nambi_2015_ctpC_vs_nambi_2015_wt,-0.03,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2235,Rv2235,Probable conserved transmembrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.31,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2236c,cobD,Probable cobalamin biosynthesis transmembrane protein CobD,nambi_2015_ctpC_vs_nambi_2015_wt,-0.73,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2237,Rv2237,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-1,0.69751,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2237A,Rv2237A,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.55,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2238c,ahpE,Probable peroxiredoxin AhpE,nambi_2015_ctpC_vs_nambi_2015_wt,6.33,0.41917,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2239c,Rv2239c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.91,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2240c,Rv2240c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.81,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2241,aceE,Pyruvate dehydrogenase E1 component AceE (pyruvate decarboxylase) (pyruvate dehydrogenase) (pyruvic dehydrogenase),nambi_2015_ctpC_vs_nambi_2015_wt,-0.6,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2242,Rv2242,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.37,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2243,fabD,Malonyl CoA-acyl carrier protein transacylase FabD (malonyl CoA:ACPM acyltransferase) (MCT),nambi_2015_ctpC_vs_nambi_2015_wt,-2.87,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2244,acpM,Meromycolate extension acyl carrier protein AcpM,nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2245,kasA,3-oxoacyl-[acyl-carrier protein] synthase 1 KasA (beta-ketoacyl-ACP synthase) (KAS I),nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2246,kasB,3-oxoacyl-[acyl-carrier protein] synthase 2 KasB (beta-ketoacyl-ACP synthase) (KAS I),nambi_2015_ctpC_vs_nambi_2015_wt,1.37,0.14457,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2247,accD6,Acetyl/propionyl-CoA carboxylase (beta subunit) AccD6,nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2248,Rv2248,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.77,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2249c,glpD1,Probable glycerol-3-phosphate dehydrogenase GlpD1,nambi_2015_ctpC_vs_nambi_2015_wt,-1.21,0.92656,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2250c,Rv2250c,Possible transcriptional regulatory protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.09,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2251,Rv2251,Possible flavoprotein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.08,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2252,Rv2252,Diacylglycerol kinase,nambi_2015_ctpC_vs_nambi_2015_wt,-1.16,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2253,Rv2253,Possible secreted unknown protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.66,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2254c,Rv2254c,Probable integral membrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,2.97,0.60502,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2255A,Rv2255A,,nambi_2015_ctpC_vs_nambi_2015_wt,1.09,0.87447,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2255c,Rv2255c,Hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.53,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2256c,Rv2256c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.21,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2257c,Rv2257c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.94,0.94612,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2258c,Rv2258c,Possible transcriptional regulatory protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.45,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2259,mscR,S-nitrosomycothiol reductase MscR,nambi_2015_ctpC_vs_nambi_2015_wt,-1.17,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2260,Rv2260,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.19,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2261c,Rv2261c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.29,0.68637,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2262c,Rv2262c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-1.07,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2263,Rv2263,Possible oxidoreductase,nambi_2015_ctpC_vs_nambi_2015_wt,1.06,0.68637,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2264c,Rv2264c,Conserved hypothetical proline rich protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.97,0.47996,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2265,Rv2265,Possible conserved integral membrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.49,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2266,cyp124,Probable cytochrome P450 124 Cyp124,nambi_2015_ctpC_vs_nambi_2015_wt,-0.75,0.99903,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2267c,Rv2267c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.67,0.77163,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2268c,cyp128,Probable cytochrome P450 128 Cyp128,nambi_2015_ctpC_vs_nambi_2015_wt,-2.24,0.98093,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2269c,Rv2269c,Hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.53,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2270,lppN,Probable lipoprotein LppN,nambi_2015_ctpC_vs_nambi_2015_wt,1.74,0.40608,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2271,Rv2271,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.58,0.38464,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2272,Rv2272,Probable conserved transmembrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.3,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2273,Rv2273,Probable conserved transmembrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.59,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2274A,mazE8,Possible antitoxin MazE8,nambi_2015_ctpC_vs_nambi_2015_wt,1.32,0.94036,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2274c,mazF8,Possible toxin MazF8,nambi_2015_ctpC_vs_nambi_2015_wt,-0.47,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2275,Rv2275,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.42,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2276,cyp121,Cytochrome P450 121 Cyp121,nambi_2015_ctpC_vs_nambi_2015_wt,-0.19,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2277c,Rv2277c,Possible glycerolphosphodiesterase,nambi_2015_ctpC_vs_nambi_2015_wt,0.22,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2278,Rv2278,Putative transposase for insertion sequence element IS6110 (fragment),nambi_2015_ctpC_vs_nambi_2015_wt,0.78,0.95174,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2279,Rv2279,Probable transposase,nambi_2015_ctpC_vs_nambi_2015_wt,0.35,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2280,Rv2280,Probable dehydrogenase,nambi_2015_ctpC_vs_nambi_2015_wt,0.28,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv2281,pitB,Putative phosphate-transport permease PitB,nambi_2015_ctpC_vs_nambi_2015_wt,-0.69,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
