Rv_ID	gene_name	Description	Final Call	tuberculist_category	NN_joined
Rv1039c	PPE15	PPE family protein PPE15	Non essential	PE/PPE	Rv0977, Rv3080c, Rv1256c, Rv3740c, Rv3106, Rv3862c, Rv3366, Rv0643c, Rv0630c, Rv2009
Rv1040c	PE8	PE family protein PE8	Non essential	PE/PPE	Rv3389c, Rv1885c, Rv1917c, Rv3765c, Rv1410c, Rv0385, Rv1033c, Rv3854c, Rv0091, Rv3097c
Rv1041c	-	Probable is like-2 transposase	Non essential	insertion seqs and phages	Rv1345, Rv0483, Rv2593c, Rv2841c, Rv2783c, Rv2916c, Rv2068c, Rv2097c, Rv2115c, Rv2351c
Rv1042c	-	Probable is like-2 transposase	Non essential	insertion seqs and phages	Rv1267c, Rv3704c, Rv1731, Rv1996, Rv0754, Rv1563c, Rv3655c, Rv1846c, Rv2822c, Rv3133c
Rv1043c	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv0032, Rv3065, Rv2973c, Rv3879c, Rv2881c, Rv1162, Rv0764c, Rv1468c, Rv0853c, Rv3409c
Rv1044	-	hypothetical protein	Essential	conserved hypotheticals	Rv3262, Rv3810, Rv2200c, Rv1474c, Rv3261, Rv3384c, Rv2737c, Rv2453c, Rv0129c, Rv2238c
Rv1045	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv2027c, Rv0262c, Rv2911, Rv2266, Rv0114, Rv2744c, Rv0889c, Rv3198c, Rv0823c, Rv3404c
Rv1046c	-	Hypothetical protein	Non essential	unknown	Rv3413c, Rv1160, Rv1911c, Rv1675c, Rv2719c, Rv2579, Rv0230c, Rv0985c, Rv3318, Rv0438c
Rv1047	-	Probable transposase	Non essential	insertion seqs and phages	Rv1205, Rv0073, Rv1239c, Rv3419c, Rv3097c, Rv2584c, Rv1033c, Rv3886c, Rv2301, Rv3854c
Rv1048c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv1876, Rv2431c, Rv1075c, Rv1484, Rv3808c, Rv0453, Rv2465c, Rv0285, Rv1389, Rv0054
Rv1049	-	Probable transcriptional repressor protein	Non essential	regulatory proteins	Rv2982c, Rv3404c, Rv1212c, Rv0823c, Rv2744c, Rv2376c, Rv3878, Rv0888, Rv0889c, Rv0899
Rv1050	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3487c, Rv2150c, Rv1384, Rv0382c, Rv0669c, Rv1605, Rv1602, Rv0194, Rv0886, Rv3225c
Rv1051c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2521, Rv3197A, Rv3130c, Rv2816c, Rv0220, Rv3155, Rv1218c, Rv1169c, Rv1848, Rv0601c
Rv1052	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv1553, Rv2549c, Rv3841, Rv0969, Rv0677c, Rv2866, Rv0847, Rv0620, Rv2427c, Rv3398c
Rv1053c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv1553, Rv2549c, Rv3841, Rv0677c, Rv0969, Rv2866, Rv3398c, Rv0847, Rv1207, Rv2427c
Rv1054	-	Probable integrase (fragment)	Non essential	insertion seqs and phages	Rv1102c, Rv1372, Rv1857, Rv2602, Rv3600c, Rv2002, Rv0409, Rv3405c, Rv0732, Rv2179c
Rv1055	-	Possible integrase (fragment)	Non essential	insertion seqs and phages	Rv1984c, Rv3111, Rv3451, Rv2873, Rv1030, Rv0573c, Rv3370c, Rv3084, Rv0092, Rv2284
Rv1056	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1484, Rv1980c, Rv1983, Rv2465c, Rv3808c, Rv2431c, Rv1601, Rv2725c, Rv1876, Rv0503c
Rv1057	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0418, Rv0500, Rv0208c, Rv3610c, Rv2702, Rv0933, Rv3754, Rv0533c, Rv3157, Rv0070c
Rv1058	fadD14	Probable medium chain fatty-acid-CoA ligase FadD14 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	Non essential	lipid metabolism	Rv3488, Rv0749, Rv1596, Rv3592, Rv0065, Rv3062, Rv3357, Rv3681c, Rv1495, Rv3853
Rv1059	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2861c, Rv2953, Rv0512, Rv0956, Rv2748c, Rv1270c, Rv2228c, Rv3449, Rv2950c, Rv0292
Rv1060	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3911, Rv2530c, Rv3272, Rv2252, Rv0478, Rv3724B, Rv0866, Rv1629, Rv1316c, Rv0668
Rv1061	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1690, Rv1222, Rv3619c, Rv3273, Rv2878c, Rv0821c, Rv0757, Rv0518, Rv2176, Rv2855
Rv1062	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1408, Rv1410c, Rv3660c, Rv0414c, Rv2748c, Rv3628, Rv3152, Rv3509c, Rv0867c, Rv1694
Rv1063c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1219c, Rv2952, Rv1258c, Rv3470c, Rv1021, Rv2959c, Rv2688c, Rv2213, Rv3203, Rv1223
Rv1064c	lpqV	Possible lipoprotein LpqV	Non essential	cell wall and cell processes	Rv2285, Rv2894c, Rv2727c, Rv2902c, Rv1818c, Rv3586, Rv2733c, Rv0985c, Rv2389c, Rv1911c
Rv1065	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0847, Rv0969, Rv0987, Rv2866, Rv1745c, Rv0191, Rv2010, Rv3082c, Rv2549c, Rv0620
Rv1066	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2733c, Rv1818c, Rv0985c, Rv2727c, Rv1911c, Rv2389c, Rv2285, Rv3586, Rv1160, Rv2719c
Rv1067c	PE_PGRS19	PE-PGRS family protein PE_PGRS19	Non essential	PE/PPE	Rv1739c, Rv3794, Rv1821, Rv1420, Rv2868c, Rv2583c, Rv2946c, Rv0342, Rv2345, Rv0553
Rv1068c	PE_PGRS20	PE-PGRS family protein PE_PGRS20	Non essential	PE/PPE	Rv1651c, Rv1182, Rv3607c, Rv3392c, Rv0256c, Rv3056, Rv1330c, Rv2970c, Rv3731, Rv3547
Rv1069c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1991A, Rv2173, Rv3490, Rv2611c, Rv2977c, Rv2373c, Rv0524, Rv1002c, Rv0813c, Rv0287
Rv1070c	echA8	Probable enoyl-CoA hydratase EchA8 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)	Non essential	lipid metabolism	Rv0045c, Rv0475, Rv1302, Rv0203, Rv3842c, Rv0751c, Rv0137c, Rv2625c, Rv2350c, Rv2232
Rv1071c	echA9	Possible enoyl-CoA hydratase EchA9 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)	Non essential	lipid metabolism	Rv2173, Rv1991A, Rv3490, Rv2611c, Rv1002c, Rv0524, Rv0287, Rv2373c, Rv2764c, Rv2130c
Rv1072	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv2358, Rv3810, Rv1700, Rv0983, Rv1798, Rv1238, Rv3546, Rv3384c, Rv2149c, Rv1474c
Rv1073	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv1201c, Rv3609c, Rv2155c, Rv1989c, Rv2335, Rv1294, Rv3379c, Rv1304, Rv1665, Rv2258c
Rv1074c	fadA3	Probable beta-ketoacyl CoA thiolase FadA3	Growth advantage	lipid metabolism	Rv1989c, Rv1201c, Rv3609c, Rv1695, Rv3156, Rv1665, Rv2155c, Rv1294, Rv3731, Rv1013
Rv1075c	-	Conserved exported protein	Non essential	cell wall and cell processes	Rv0285, Rv1389, Rv1602, Rv1202, Rv0669c, Rv2150c, Rv0382c, Rv1605, Rv1983, Rv1384
Rv1076	lipU	Possible lipase LipU	Non essential	intermediary metabolism and respiration	Rv2213, Rv2959c, Rv3203, Rv2952, Rv1173, Rv3681c, Rv2430c, Rv3357, Rv0187, Rv1425
Rv1077	cbs	Probable cystathionine beta-synthase Cbs (serine sulfhydrase) (beta-thionase) (hemoprotein H-450)	Non essential	intermediary metabolism and respiration	Rv1650, Rv2914c, Rv0334, Rv2801A, Rv1297, Rv1309, Rv1334, Rv2388c, Rv2418c, Rv3712
Rv1078	pra	Probable proline-rich antigen homolog Pra	Non essential	conserved hypotheticals	Rv3624c, Rv0410c, Rv2983, Rv1170, Rv2455c, Rv0066c, Rv3420c, Rv0946c, Rv1512, Rv2582
Rv1079	metB	Cystathionine gamma-synthase MetB (CGS) (O-succinylhomoserine [thiol]-lyase)	Non essential	intermediary metabolism and respiration	Rv2948c, Rv3876, Rv0202c, Rv3803c, Rv0712, Rv3868, Rv3869, Rv2241, Rv3877, Rv0450c
Rv1080c	greA	Probable transcription elongation factor GreA (transcript cleavage factor GreA)	Non essential	information pathways	Rv1247c, Rv3919c, Rv1932, Rv1082, Rv2149c, Rv3339c, Rv3384c, Rv2737c, Rv1542c, Rv3287c
Rv1081c	-	Probable conserved membrane protein	Non essential	cell wall and cell processes	Rv0896, Rv0482, Rv1837c, Rv3676, Rv2986c, Rv0288, Rv3032, Rv2594c, Rv0733, Rv3443c
Rv1082	mca	Mycothiol conjugate amidase Mca (mycothiol S-conjugate amidase)	Non essential	virulence, detoxification, adaptation	Rv2737c, Rv3384c, Rv1080c, Rv1542c, Rv3919c, Rv0092, Rv1247c, Rv1932, Rv2200c, Rv3339c
Rv1083	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0468, Rv2096c, Rv1379, Rv2359, Rv2156c, Rv2496c, Rv1908c, Rv2243, Rv1391, Rv2154c
Rv1084	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2258c, Rv1288, Rv3573c, Rv2155c, Rv1294, Rv2589, Rv3609c, Rv2763c, Rv2335, Rv0054
Rv1085c	-	Possible hemolysin-like protein	Non essential	virulence, detoxification, adaptation	Rv1436, Rv1609, Rv1437, Rv2192c, Rv3710, Rv2439c, Rv0787A, Rv1559, Rv2988c, Rv2397c
Rv1086	-	Short (C15) chain Z-isoprenyl diphosphate synthase (Z-FPP synthase) (Z-farnesyl diphosphate synthase) (Z-FPP synthetase) (Z-farnesyl diphosphate synthetase) (geranyltranstransferase) (farnesyl pyrophosphate synthetase)	Non essential	cell wall and cell processes	Rv3717, Rv1411c, Rv2869c, Rv2224c, Rv2525c, Rv2051c, Rv0903c, Rv3873, Rv0352, Rv3614c
Rv1087	PE_PGRS21	PE-PGRS family protein PE_PGRS21	Non essential	PE/PPE	Rv3866, Rv3087, Rv0858c, Rv0620, Rv0409, Rv3841, Rv0693, Rv0191, Rv2010, Rv2602
Rv1087A	-	hypothetical protein	Growth advantage	cell wall and cell processes	Rv1886c, Rv2289, Rv2407, Rv2958c, Rv0233, Rv1344, Rv0802c, Rv3089, Rv0978c, Rv3480c
Rv1088	PE9	PE family protein PE9	Non essential	PE/PPE	Rv1562c, Rv1341, Rv1448c, Rv3881c, Rv0070c, Rv2429, Rv1497, Rv0297, Rv0533c, Rv3537
Rv1089	PE10	PE family protein PE10	Non essential	PE/PPE	Rv3654c, Rv2841c, Rv2115c, Rv1345, Rv2097c, Rv2916c, Rv2783c, Rv0483, Rv2068c, Rv2593c
Rv1089A	celA2a	Probable cellulase CelA2a (endo-1,4-beta-glucanase) (endoglucanase) (carboxymethyl cellulase)	Non essential	intermediary metabolism and respiration	Rv1114, Rv2829c, Rv3835, Rv0126, Rv0626, Rv0596c, Rv2865, Rv0211, Rv1259, Rv2587c
Rv1090	celA2b	Probable cellulase CelA2b (endo-1,4-beta-glucanase) (endoglucanase) (carboxymethyl cellulase)	Non essential	intermediary metabolism and respiration	Rv1317c, Rv2436, Rv0182c, Rv0233, Rv2958c, Rv0148, Rv2911, Rv2407, Rv2266, Rv0262c
Rv1091	PE_PGRS22	PE-PGRS family protein PE_PGRS22	Non essential	PE/PPE	Rv1131, Rv1151c, Rv2701c, Rv1997, Rv0444c, Rv1962c, Rv2270, Rv3382c, Rv1493, NONE
Rv1092c	coaA	Probable pantothenate kinase CoaA (pantothenic acid kinase)	Essential	intermediary metabolism and respiration	Rv3709c, Rv1002c, Rv0287, Rv2764c, Rv0627, Rv2130c, Rv0721, Rv1295, Rv0524, Rv2343c
Rv1093	glyA1	Serine hydroxymethyltransferase 1 GlyA1	Essential	intermediary metabolism and respiration	Rv1617, Rv1600, Rv1338, Rv3246c, Rv3356c, Rv1828, Rv3396c, Rv0884c, Rv3255c, Rv2477c
Rv1094	desA2	Possible acyl-[acyl-carrier protein] desaturase DesA2 (acyl-[ACP] desaturase) (stearoyl-ACP desaturase)	Essential	lipid metabolism	Rv1381, Rv2244, Rv1449c, Rv1603, Rv3806c, Rv1656, Rv2726c, Rv2247, Rv0685, Rv2421c
Rv1095	phoH2	Probable PHOH-like protein PhoH2 (phosphate starvation-inducible protein PSIH)	Non essential	intermediary metabolism and respiration	Rv0858c, Rv0620, Rv3866, Rv3087, Rv3841, Rv2427c, Rv0191, Rv2010, Rv0409, Rv2866
Rv1096	-	Possible glycosyl hydrolase	Non essential	intermediary metabolism and respiration	Rv1992c, Rv1430, Rv2631, Rv3598c, Rv2187, Rv2296, Rv2181, Rv3406, Rv0058, Rv0183
Rv1097c	-	Probable membrane glycine and proline rich protein	Non essential	cell wall and cell processes	Rv2985, Rv0886, Rv3487c, Rv1605, Rv0669c, Rv1602, Rv2150c, Rv0382c, Rv1202, Rv0844c
Rv1098c	fum	Probable fumarase Fum (fumarate hydratase)	Essential	intermediary metabolism and respiration	Rv2903c, Rv0509, Rv0640, Rv2676c, Rv2703, Rv0429c, Rv3708c, Rv0667, Rv2987c, Rv1658
Rv1099c	glpX	Fructose 1,6-bisphosphatase GlpX	Non essential	intermediary metabolism and respiration	Rv2942, Rv2945c, Rv2936, Rv2937, Rv2938, Rv3615c, Rv2626c, Rv0008c, Rv2673, Rv3282
Rv1100	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1931c, Rv2780, Rv0670, Rv0237, Rv1400c, Rv1496, Rv1027c, Rv3908, Rv3561, Rv0490
Rv1101c	-	hypothetical protein	Non essential	cell wall and cell processes	Rv2584c, Rv3097c, Rv3765c, Rv1239c, Rv3854c, Rv0938, Rv0073, Rv0904c, Rv0624, Rv3744
Rv1102c	mazF3	Toxin MazF3	Non essential	virulence, detoxification, adaptation	Rv1372, Rv1857, Rv2602, Rv2179c, Rv3600c, Rv2002, Rv0409, Rv0732, Rv3405c, Rv1560
Rv1103c	mazE3	Possible antitoxin MazE3	Non essential	virulence, detoxification, adaptation	Rv3150, Rv3148, Rv1364c, Rv2267c, Rv3151, Rv1335, Rv3045, Rv3145, Rv1981c, Rv0848
Rv1104	-	Possible para-nitrobenzyl esterase (fragment)	Non essential	intermediary metabolism and respiration	Rv1820, Rv3585, Rv2074, Rv2918c, Rv1985c, Rv1625c, Rv1161, Rv1493, Rv0444c, NONE
Rv1105	-	Possible para-nitrobenzyl esterase (fragment)	Non essential	intermediary metabolism and respiration	Rv2861c, Rv0956, Rv0512, Rv2953, Rv2950c, Rv3378c, Rv1496, Rv3908, Rv3124, Rv1027c
Rv1106c	-	3-beta-hydroxysteroid dehydrogenase	Non essential	intermediary metabolism and respiration	Rv2009, Rv1196, Rv2275, Rv0643c, Rv0977, Rv2823c, Rv3080c, Rv2459, Rv0518, Rv2820c
Rv1107c	xseB	Probable exodeoxyribonuclease VII (small subunit) XseB (exonuclease VII small subunit)	Non essential	information pathways	Rv2043c, Rv3444c, Rv1608c, Rv1264, Rv1541c, Rv3270, Rv1187, Rv1218c, Rv3155, Rv0601c
Rv1108c	xseA	Probable exodeoxyribonuclease VII (large subunit) XseA (exonuclease VII large subunit)	Non essential	information pathways	Rv3557c, Rv3315c, Rv1860, Rv0864, Rv1284, Rv3809c, Rv2976c, Rv2249c, Rv0617, Rv0432
Rv1109c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1859, Rv1746, Rv2822c, Rv3383c, Rv1207, Rv0986, Rv1846c, Rv0408, Rv3398c, Rv0677c
Rv1110	lytB2	Probable LYTB-related protein LytB2	Essential	cell wall and cell processes	Rv1023, Rv0957, Rv0639, Rv2614c, Rv2157c, Rv0423c, Rv2682c, Rv3028c, Rv0706, Rv0683
Rv1111c	-	hypothetical protein	Essential domain	conserved hypotheticals	Rv3310, Rv1247c, Rv3287c, Rv2604c, Rv3919c, Rv1932, Rv2548, Rv1080c, Rv0631c, Rv3701c
Rv1112	-	Probable GTP binding protein	Non essential	conserved hypotheticals	Rv3624c, Rv2983, Rv1170, Rv2455c, Rv0410c, Rv2582, Rv2050, Rv0066c, Rv0946c, Rv2454c
Rv1113	vapB32	Possible antitoxin VapB32	Non essential	virulence, detoxification, adaptation	Rv2249c, Rv0432, Rv3826, Rv2234, Rv3557c, Rv1108c, Rv2741, Rv2066, Rv0895, Rv0655
Rv1114	vapC32	Possible toxin VapC32 Contains PIN domain	Non essential	virulence, detoxification, adaptation	Rv2829c, Rv3835, Rv0126, Rv0596c, Rv0626, Rv0900, Rv2587c, Rv1259, Rv3240c, Rv0211
Rv1115	-	Possible exported protein	Non essential	cell wall and cell processes	Rv1997, Rv0453, Rv2270, Rv1151c, Rv3382c, Rv1962c, Rv1131, Rv2294, Rv0444c, Rv2501c
Rv1116	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv1897c, Rv2710, Rv1121, Rv1261c, Rv2007c, Rv0827c, Rv3414c, Rv2495c, Rv1009, Rv2949c
Rv1116A	-	Conserved hypothetical protein (fragment)	Non essential	conserved hypotheticals	Rv3911, Rv3592, Rv2530c, Rv3357, Rv3724B, Rv3062, Rv0582, Rv0749, Rv3272, Rv1629
Rv1117	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2548, Rv3339c, Rv3287c, Rv0595c, Rv3310, Rv2601, Rv3504, Rv0631c, Rv3674c, Rv1030
Rv1118c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1294, Rv0252, Rv2155c, Rv2725c, Rv3573c, Rv2258c, Rv3056, Rv1201c, Rv3609c, Rv1288
Rv1119c	-	Hypothetical protein	Uncertain	conserved hypotheticals	Rv3574, Rv1447c, Rv3283, Rv2384, Rv1280c, Rv2383c, Rv0994, Rv0470c, Rv0561c, Rv2752c
Rv1120c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3109, Rv3119, Rv0908, Rv1872c, Rv3398c, Rv0677c, Rv1745c, Rv0978c, Rv3383c, Rv0969
Rv1121	zwf1	Probable glucose-6-phosphate 1-dehydrogenase Zwf1 (G6PD)	Non essential	intermediary metabolism and respiration	Rv2757c, Rv3414c, Rv3565, Rv1541c, Rv1187, Rv2710, Rv2949c, Rv3444c, Rv1897c, Rv2745c
Rv1122	gnd2	Probable 6-phosphogluconate dehydrogenase,decarboxylating Gnd2	Essential	intermediary metabolism and respiration	Rv3255c, Rv3247c, Rv3246c, Rv3265c, Rv3396c, Rv3244c, Rv3423c, Rv1402, Rv3356c, Rv3372
Rv1123c	bpoB	Possible peroxidase BpoB (non-haem peroxidase)	Non essential	virulence, detoxification, adaptation	Rv1027c, Rv1400c, Rv3561, Rv3908, Rv1496, Rv0490, Rv3793, Rv3378c, Rv1931c, Rv0670
Rv1124	ephC	Probable epoxide hydrolase EphC (epoxide hydratase)	Non essential	virulence, detoxification, adaptation	Rv2819c, Rv2818c, Rv0114, Rv2817c, Rv1221, Rv2911, Rv2289, Rv2436, Rv0262c, Rv2407
Rv1125	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1212c, Rv2982c, Rv0899, Rv0889c, Rv3404c, Rv0888, Rv2376c, Rv2029c, Rv2744c, Rv0819
Rv1126c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3544c, Rv3571, Rv0391, Rv3543c, Rv0202c, Rv3868, Rv0485, Rv3526, Rv2048c, Rv0190
Rv1127c	ppdK	Probable pyruvate, phosphate dikinase PpdK	Non essential	intermediary metabolism and respiration	Rv2048c, Rv3495c, Rv0642c, Rv3868, Rv1183, Rv0761c, Rv3571, Rv3545c, Rv3526, Rv0202c
Rv1128c	-	hypothetical protein	Non essential	insertion seqs and phages	Rv2952, Rv2959c, Rv2213, Rv1076, Rv3203, Rv2688c, Rv3417c, Rv2430c, Rv1425, Rv1173
Rv1129c	-	Probable transcriptional regulator protein	Non essential	regulatory proteins	Rv1130, Rv3307, Rv3570c, Rv1561, Rv1737c, Rv1495, Rv2848c, Rv0065, Rv0694, Rv1021
Rv1130	prpD	Possible methylcitrate dehydratase PrpD	Non essential	intermediary metabolism and respiration	Rv1129c, Rv0065, Rv3570c, Rv1495, Rv3307, Rv0019c, Rv0694, Rv2848c, Rv3567c, Rv1737c
Rv1131	prpC	Probable methylcitrate synthase PrpC	Non essential	intermediary metabolism and respiration	Rv1151c, Rv1997, Rv3382c, Rv2701c, Rv0453, Rv2270, Rv1962c, Rv0444c, Rv0845, Rv1771
Rv1132	-	hypothetical protein	Non essential	cell wall and cell processes	Rv2820c, Rv1143, Rv1433, Rv0301, Rv1189, Rv1660, Rv3010c, Rv1633, Rv0491, Rv0901
Rv1133c	metE	Probable 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase MetE (methionine synthase, vitamin-B12 independent isozyme)	Essential	intermediary metabolism and respiration	Rv2225, Rv1409, Rv3602c, Rv0809, Rv2995c, Rv3838c, Rv3457c, Rv1595, Rv2439c, Rv1415
Rv1134	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv1160, Rv3413c, Rv1911c, Rv2719c, Rv1675c, Rv0985c, Rv2579, Rv2733c, Rv0230c, Rv2389c
Rv1135A	-	Possible acetyl-CoA acetyltransferase (acetoacetyl-CoA thiolase)	Non essential	lipid metabolism	Rv2962c, Rv3581c, Rv3744, Rv1850, Rv0624, Rv0904c, Rv2345, Rv0553, Rv0848, Rv0980c
Rv1135c	PPE16	PPE family protein PPE16	Non essential	PE/PPE	Rv1151c, Rv1131, Rv2270, Rv1997, Rv0444c, Rv2701c, Rv1962c, Rv3382c, Rv0453, Rv2294
Rv1136	-	Possible enoyl-CoA hydratase	Non essential	lipid metabolism	Rv1169c, Rv2428, Rv1755c, Rv1938, Rv2870c, Rv1848, Rv2816c, Rv3130c, Rv0282, Rv0601c
Rv1137c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv1009, Rv2949c, Rv3168, Rv1121, Rv3414c, Rv3724B, Rv0827c, Rv2757c, Rv2928, Rv1897c
Rv1138c	-	Possible oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3065, Rv2881c, Rv1468c, Rv0032, Rv2450c, Rv2973c, Rv1162, Rv1365c, Rv3820c, Rv3408
Rv1139c	-	hypothetical protein	Non essential	cell wall and cell processes	Rv1205, Rv1033c, Rv1239c, Rv3097c, Rv3886c, Rv2584c, Rv0073, Rv3854c, Rv2301, Rv3765c
Rv1140	-	Probable integral membrane protein	Non essential	cell wall and cell processes	Rv3696c, Rv0598c, Rv3515c, Rv2175c, Rv2464c, Rv3792, Rv3616c, Rv2924c, Rv1747, Rv3469c
Rv1141c	echA11	Probable enoyl-CoA hydratase EchA11 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)	Non essential	lipid metabolism	Rv2462c, Rv2607, Rv1651c, Rv1304, Rv3379c, Rv0286, Rv1013, Rv3731, Rv3607c, Rv2970c
Rv1142c	echA10	Probable enoyl-CoA hydratase EchA10 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)	Non essential	lipid metabolism	Rv0551c, Rv2095c, Rv3731, Rv1695, Rv1028c, Rv1013, Rv1391, Rv0256c, Rv1989c, Rv2445c
Rv1143	mcr	Probable alpha-methylacyl-CoA racemase Mcr (2-methylacyl-CoA racemase) (2-arylpropionyl-CoA epimerase )	Growth advantage	lipid metabolism	Rv2820c, Rv0301, Rv1660, Rv1433, Rv0491, Rv3010c, Rv0901, Rv1399c, Rv1028c, Rv1189
Rv1144	-	Probable short-chain type dehydrogenase/reductase	Growth advantage	intermediary metabolism and respiration	Rv3487c, Rv1384, Rv0382c, Rv2150c, Rv0194, Rv0629c, Rv3059, Rv1330c, Rv3808c, Rv0669c
Rv1145	mmpL13a	Probable conserved transmembrane transport protein MmpL13a	Growth advantage	cell wall and cell processes	Rv0092, Rv1030, Rv3287c, Rv3504, Rv1991c, Rv3451, Rv1542c, Rv3339c, Rv2284, Rv2601
Rv1146	mmpL13b	Probable conserved transmembrane transport protein MmpL13b	Growth advantage	cell wall and cell processes	Rv3133c, Rv0182c, Rv1317c, Rv2911, Rv3198c, Rv2006, Rv3506, Rv3086, Rv2027c, Rv2266
Rv1147	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv3743c, Rv3366, Rv0630c, Rv3862c, Rv3822, Rv1256c, Rv1308, Rv2294, Rv0643c, Rv3106
Rv1148c	-	hypothetical protein	Non essential	insertion seqs and phages	Rv1553, Rv2549c, Rv0677c, Rv0969, Rv3398c, Rv1207, Rv3841, Rv0847, Rv1745c, Rv2866
Rv1149	-	Possible transposase	Non essential	insertion seqs and phages	Rv1267c, Rv3704c, Rv1731, Rv3133c, Rv1777, Rv1996, Rv2822c, Rv0754, NONE, NONE
Rv1151c	-	Transcriptional regulatory protein	Non essential	regulatory proteins	Rv1997, Rv1131, Rv2270, Rv0444c, Rv1962c, Rv0453, Rv2701c, Rv3382c, Rv2294, NONE
Rv1152	-	Probable transcriptional regulatory protein	Non essential	regulatory proteins	Rv0020c, Rv1884c, Rv0678, Rv2466c, Rv3282, Rv0130, Rv2276, Rv2673, Rv0937c, Rv2217
Rv1153c	omt	Probable O-methyltransferase Omt	Non essential	lipid metabolism	Rv0904c, Rv3744, Rv0938, Rv0553, Rv2962c, Rv2345, Rv0624, Rv3581c, Rv2868c, Rv1850
Rv1154c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv2593c, Rv3607c, Rv2970c, Rv0483, Rv1651c, Rv3547, Rv2351c, Rv2783c, Rv2063A, Rv3083
Rv1155	-	Possible pyridoxamine 5'-phosphate oxidase (PNP/PMP oxidase) (pyridoxinephosphate oxidase) (PNPOX) (pyridoxine 5'-phosphate oxidase)	Non essential	intermediary metabolism and respiration	Rv3117, Rv3547, Rv2063A, Rv2713, Rv1162, Rv0132c, Rv1819c, Rv3820c, Rv3392c, Rv0764c
Rv1156	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0444c, Rv3585, Rv2074, Rv1985c, Rv1820, Rv1161, Rv2918c, Rv1151c, Rv2270, Rv1962c
Rv1157c	-	Conserved ala-, pro-rich protein	Non essential	conserved hypotheticals	Rv0016c, Rv0022c, Rv0050, Rv0642c, Rv0098, Rv1183, Rv3809c, Rv1284, Rv3229c, Rv2048c
Rv1158c	-	Conserved hypothetical ala-, pro-rich protein	Non essential	conserved hypotheticals	Rv1184c, Rv1286, Rv0631c, Rv0595c, Rv3674c, Rv3310, Rv0230c, Rv2579, Rv2548, Rv1675c
Rv1159	pimE	Mannosyltransferase PimE	Non essential	cell wall and cell processes	Rv1159, Rv3874, Rv1909c, Rv0099, Rv0994, Rv1698, Rv0967, Rv2378c, Rv3546, Rv0983
Rv1159	pimE	Mannosyltransferase PimE	Non essential	cell wall and cell processes	Rv1159, Rv3874, Rv1909c, Rv0099, Rv0994, Rv1698, Rv0967, Rv2378c, Rv3546, Rv0983
Rv1159A	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2211c, Rv1492, Rv2498c, Rv2573, Rv3036c, Rv0221, Rv1364c, Rv1335, Rv2386c, Rv0821c
Rv1160	mutT2	Probable mutator protein MutT2 (7,8-dihydro-8-oxoguanine-triphosphatase) (8-oxo-dGTPase)	Non essential	information pathways	Rv3413c, Rv1911c, Rv1675c, Rv2579, Rv2719c, Rv0230c, Rv0985c, Rv2733c, Rv2389c, NONE
